Symbol,Current Price,Quantity of Shares,Currency,Break Even Price,Total Monies Spent,Revenue [abs],Revenue [percent],Commission,Total Value [abs],Total Value [percent]
VEU,54.43000030517578,121.0,USD,50.845,6152.245,433.78503692626964,7.050841390846263,-1.0,6586.0300369262695,24.54299486689833
VOO,384.57000732421875,51.0,USD,356.2758864380588,18170.070208341,1443.0001651941566,7.941632303279405,-13.0,19613.070373535156,73.08856516033194
INTC,29.93000030517578,19.0,USD,227.5115789473685,4322.720000000001,-3754.0499942016613,-86.8446254719635,-2.180000000000291,568.6700057983398,2.1191620680462964
BTC-USD,26901.88671875,0.00248655,USD,37031.228006675905,92.07999999999998,-25.18711357949216,-27.353511706659607,-1.8416000000000001,66.89288642050782,0.2492779047234272
Aggregation,,191.00248655,USD,,28737.115208341,-1902.4519056607273,-6.6201909686068205,-18.02160000000029,26834.663302680274,99.99999999999999
